,Unnamed: 0,Number,OR Link,Title,Authors,Session,Unnamed: 5,inoue,oki,rama,ishii,thibault,mukai,hashimoto,Keyword,Abstract,BS Session,Order,Unnamed: 6,Oral Session,base_txt,dim1,dim2,best_kw,category,id,disp_txt
30,30,102,https://openreview.net/forum?id=2g_c8okBd_2,Hierarchically Integrated Models: Learning to Navigate from Heterogeneous Robots,"Katie Kang, Gregory Kahn, Sergey Levine",2.0,,,,,,,False,,"deep reinforcement learning, multi-robot learning, mobile navigation","Deep reinforcement learning algorithms require large and diverse datasets in order to learn successful policies for perception-based mobile navigation. However, gathering such datasets with a single robot can be prohibitively expensive. Collecting data with multiple different robotic platforms with possibly different dynamics is a more scalable approach to large-scale data collection. But how can deep reinforcement learning algorithms leverage such heterogeneous datasets? In this work, we propose a deep reinforcement learning algorithm with hierarchically integrated models (HInt). At training time, HInt learns separate perception and dynamics models, and at test time, HInt integrates the two models in a hierarchical manner and plans actions with the integrated model. This method of planning with hierarchically integrated models allows the algorithm to train on datasets gathered by a variety of different platforms, while respecting the physical capabilities of the deployment robot at test time. Our mobile navigation experiments show that HInt outperforms conventional hierarchical policies and single-source approaches.",,,,,"hierarchically integrated models: learning to navigate from heterogeneous robots deep reinforcement learning, multi-robot learning, mobile navigation deep reinforcement learning algorithms require large and diverse datasets in order to learn successful policies for perception-based mobile navigation. however, gathering such datasets with a single robot can be prohibitively expensive. collecting data with multiple different robotic platforms with possibly different dynamics is a more scalable approach to large-scale data collection. but how can deep reinforcement learning algorithms leverage such heterogeneous datasets? in this work, we propose a deep reinforcement learning algorithm with hierarchically integrated models (hint). at training time, hint learns separate perception and dynamics models, and at test time, hint integrates the two models in a hierarchical manner and plans actions with the integrated model. this method of planning with hierarchically integrated models allows the algorithm to train on datasets gathered by a variety of different platforms, while respecting the physical capabilities of the deployment robot at test time. our mobile navigation experiments show that hint outperforms conventional hierarchical policies and single-source approaches.",-1.8704225,3.7302146,hint,reinforce,30,"id:30 (hint)<br><b>Hierarchically Integrated Models: Learning to Navigate from Heterogeneous Robots</b><br>kw:deep reinforcement learning, multi-robot learning, mobile navigation"
31,31,134,https://openreview.net/forum?id=ofioIEZvJRG,Decentralized Control of Quadrotor Swarms with End-to-end Deep Reinforcement Learning,"Sumeet Batra, Zhehui Huang, Aleksei Petrenko, Tushar Kumar, Artem Molchanov, Gaurav S. Sukhatme",2.0,,,,,,,False,,"Deep Reinforcement Learning, Robot Learning, Multi-Agent Systems, Quadrotors","We demonstrate the possibility of learning drone swarm controllers that are zero-shot transferable to real quadrotors via large-scale multi-agent end-to-end reinforcement learning. We train policies parameterized by neural networks that are capable of controlling individual drones in a swarm in a fully decentralized manner. Our policies, trained in simulated environments with realistic quadrotor physics, demonstrate advanced flocking behaviors, perform aggressive maneuvers in tight formations while avoiding collisions with each other, break and re-establish formations to avoid collisions with moving obstacles, and efficiently coordinate in pursuit-evasion tasks. We analyze, in simulation, how different model architectures and parameters of the training regime influence the final performance of neural swarms. We demonstrate the successful deployment of the model learned in simulation to highly resource-constrained physical quadrotors performing station keeping and goal swapping behaviors.         Video demonstrations are available at the project website https://sites.google.com/view/swarm-rl. Source code is available in the supplementary materials.",,,,,"decentralized control of quadrotor swarms with end-to-end deep reinforcement learning deep reinforcement learning, robot learning, multi-agent systems, quadrotors we demonstrate the possibility of learning drone swarm controllers that are zero-shot transferable to real quadrotors via large-scale multi-agent end-to-end reinforcement learning. we train policies parameterized by neural networks that are capable of controlling individual drones in a swarm in a fully decentralized manner. our policies, trained in simulated environments with realistic quadrotor physics, demonstrate advanced flocking behaviors, perform aggressive maneuvers in tight formations while avoiding collisions with each other, break and re-establish formations to avoid collisions with moving obstacles, and efficiently coordinate in pursuit-evasion tasks. we analyze, in simulation, how different model architectures and parameters of the training regime influence the final performance of neural swarms. we demonstrate the successful deployment of the model learned in simulation to highly resource-constrained physical quadrotors performing station keeping and goal swapping behaviors.         video demonstrations are available at the project website https://sites.google.com/view/swarm-rl. source code is available in the supplementary materials.",-2.133646,4.389368,quadrotors,reinforce,31,"id:31 (quadrotors)<br><b>Decentralized Control of Quadrotor Swarms with End-to-end Deep Reinforcement Learning</b><br>kw:Deep Reinforcement Learning, Robot Learning, Multi-Agent Systems, Quadrotors"
32,32,148,https://openreview.net/forum?id=1yj7yMTtna,Towards Real Robot Learning in the Wild: A Case Study in Bipedal Locomotion,"Michael Bloesch, Jan Humplik, Viorica Patraucean, Roland Hafner, Tuomas Haarnoja, Arunkumar Byravan, Noah Yamamoto Siegel, Saran Tunyasuvunakool, Federico Casarini, Nathan Batchelor, Francesco Romano, Stefano Saliceti, Martin Riedmiller, S. M. Ali Eslami, Nicolas Heess",2.0,,,,,,,False,,"Multi-Task Reinforcement Learning, Robot Learning","General-purpose robotic systems must master a large repertoire of diverse skills. While reinforcement learning provides a powerful framework for acquiring individual behaviors, the time needed to acquire each skill makes the prospect of a generalist robot trained with RL daunting. In this paper, we study how a large-scale collective robotic learning system can acquire a repertoire of behaviors simultaneously, sharing exploration, experience, and representations across tasks. In this framework, new tasks can be continuously instantiated from previously learned tasks improving overall performance and capabilities of the system. To instantiate this system, we develop a scalable and intuitive framework for specifying new tasks through user-provided examples of desired outcomes, devise a multi-robot collective learning system for data collection that simultaneously collects experience for multiple tasks, and develop a scalable and generalizable multi-task deep reinforcement learning method, which we call MT-Opt. We demonstrate how MT-Opt can learn a wide range of skills, including semantic picking (i.e., picking an object from a particular category), placing into various fixtures (e.g., placing a food item onto a plate), covering, aligning, and rearranging.  We train and evaluate our system on a set of 12 real-world tasks with data collected from 7 robots, and demonstrate the performance of our system both in terms of its ability to generalize to structurally similar new tasks, and acquire distinct new tasks more quickly by leveraging past experience.  We recommend viewing the videos at https://karolhausman.github.io/mt-opt/.",,,,,"towards real robot learning in the wild: a case study in bipedal locomotion multi-task reinforcement learning, robot learning general-purpose robotic systems must master a large repertoire of diverse skills. while reinforcement learning provides a powerful framework for acquiring individual behaviors, the time needed to acquire each skill makes the prospect of a generalist robot trained with rl daunting. in this paper, we study how a large-scale collective robotic learning system can acquire a repertoire of behaviors simultaneously, sharing exploration, experience, and representations across tasks. in this framework, new tasks can be continuously instantiated from previously learned tasks improving overall performance and capabilities of the system. to instantiate this system, we develop a scalable and intuitive framework for specifying new tasks through user-provided examples of desired outcomes, devise a multi-robot collective learning system for data collection that simultaneously collects experience for multiple tasks, and develop a scalable and generalizable multi-task deep reinforcement learning method, which we call mt-opt. we demonstrate how mt-opt can learn a wide range of skills, including semantic picking (i.e., picking an object from a particular category), placing into various fixtures (e.g., placing a food item onto a plate), covering, aligning, and rearranging.  we train and evaluate our system on a set of 12 real-world tasks with data collected from 7 robots, and demonstrate the performance of our system both in terms of its ability to generalize to structurally similar new tasks, and acquire distinct new tasks more quickly by leveraging past experience.  we recommend viewing the videos at https://karolhausman.github.io/mt-opt/.",-2.089122,4.384065,picking,reinforce,32,"id:32 (picking)<br><b>Towards Real Robot Learning in the Wild: A Case Study in Bipedal Locomotion</b><br>kw:Multi-Task Reinforcement Learning, Robot Learning"
33,33,182,https://openreview.net/forum?id=I6DLxqk9J0A,Anytime Depth Estimation with Limited Sensing and Computation Capabilities on Mobile Devices,"Yuedong Yang, Zihui Xue, Radu Marculescu",2.0,,,,,,,False,,"Depth estimation is a safety critical and energy sensitive method for environment sensing. However, in real applications, the depth estimation may be halted at any time, due to the frequent interruptions and low remaining energy capacity of battery when using powerful sensors like 3D LiDAR. To address this problem, we propose a depth estimation method that is robust to random halts and relies on energy-saving 2D LiDAR and a monocular camera. To this end, we formulate the depth estimation as an anytime problem and propose a new metric to evaluate its robustness under dynamic interruptions. Our final model has only 2M parameters with a marginal accuracy loss compared to state-of-the-art baselines. Indeed, our experiments on NYU Depth v2 dataset show that our model is capable of processing 224",224 resolution images and 2D point clouds with any computation budget larger than 6.37ms (157 FPS) and 0.2J on an NVIDIA Jetson TX2 system. Evaluations on KITTI dataset under supervised and self-supervised training show similar results.,,,,,"anytime depth estimation with limited sensing and computation capabilities on mobile devices depth estimation is a safety critical and energy sensitive method for environment sensing. however, in real applications, the depth estimation may be halted at any time, due to the frequent interruptions and low remaining energy capacity of battery when using powerful sensors like 3d lidar. to address this problem, we propose a depth estimation method that is robust to random halts and relies on energy-saving 2d lidar and a monocular camera. to this end, we formulate the depth estimation as an anytime problem and propose a new metric to evaluate its robustness under dynamic interruptions. our final model has only 2m parameters with a marginal accuracy loss compared to state-of-the-art baselines. indeed, our experiments on nyu depth v2 dataset show that our model is capable of processing 224 224 resolution images and 2d point clouds with any computation budget larger than 6.37ms (157 fps) and 0.2j on an nvidia jetson tx2 system. evaluations on kitti dataset under supervised and self-supervised training show similar results.",-1.267888,4.764092,depth,no reinforce,33,"id:33 (depth)<br><b>Anytime Depth Estimation with Limited Sensing and Computation Capabilities on Mobile Devices</b><br>kw:Depth estimation is a safety critical and energy sensitive method for environment sensing. However, in real applications, the depth estimation may be halted at any time, due to the frequent interruptions and low remaining energy capacity of battery when using powerful sensors like 3D LiDAR. To address this problem, we propose a depth estimation method that is robust to random halts and relies on energy-saving 2D LiDAR and a monocular camera. To this end, we formulate the depth estimation as an anytime problem and propose a new metric to evaluate its robustness under dynamic interruptions. Our final model has only 2M parameters with a marginal accuracy loss compared to state-of-the-art baselines. Indeed, our experiments on NYU Depth v2 dataset show that our model is capable of processing 224"
34,34,278,https://openreview.net/forum?id=EdmeHU4WVjJ,Advancing Self-supervised Monocular Depth Learning with Sparse LiDAR,"Ziyue Feng, Longlong Jing, Peng Yin, Yingli Tian, Bing Li",2.0,,,,,,,False,,"Self-supervised, Monocular, Depth Prediction, Sparse LiDAR","Self-supervised monocular depth prediction provides a cost-effective solution to obtain the 3D location of each pixel. However, the existing approaches usually lead to unsatisfactory accuracy, which is critical for autonomous robots. In this paper, we propose a novel two-stage network to advance the self-supervised monocular dense depth learning by leveraging low-cost sparse (e.g. 4-beam) LiDAR. Unlike the existing methods that use sparse LiDAR mainly in a manner of time-consuming iterative post-processing, our model fuses monocular image features and sparse LiDAR features to predict initial depth maps. Then, an efficient feed-forward refine network is further designed to correct the errors in these initial depth maps in pseudo-3D space with real-time performance. Extensive experiments show that our proposed model significantly outperforms all the state-of-the-art self-supervised methods, as well as the sparse-LiDAR-based methods on both self-supervised monocular depth prediction and completion tasks. With the accurate dense depth prediction, our model outperforms the state-of-the-art sparse-LiDAR-based method (Pseudo-LiDAR++) by more than 68% for the downstream task monocular 3D object detection on the KITTI Leaderboard.",,,,,"advancing self-supervised monocular depth learning with sparse lidar self-supervised, monocular, depth prediction, sparse lidar self-supervised monocular depth prediction provides a cost-effective solution to obtain the 3d location of each pixel. however, the existing approaches usually lead to unsatisfactory accuracy, which is critical for autonomous robots. in this paper, we propose a novel two-stage network to advance the self-supervised monocular dense depth learning by leveraging low-cost sparse (e.g. 4-beam) lidar. unlike the existing methods that use sparse lidar mainly in a manner of time-consuming iterative post-processing, our model fuses monocular image features and sparse lidar features to predict initial depth maps. then, an efficient feed-forward refine network is further designed to correct the errors in these initial depth maps in pseudo-3d space with real-time performance. extensive experiments show that our proposed model significantly outperforms all the state-of-the-art self-supervised methods, as well as the sparse-lidar-based methods on both self-supervised monocular depth prediction and completion tasks. with the accurate dense depth prediction, our model outperforms the state-of-the-art sparse-lidar-based method (pseudo-lidar++) by more than 68% for the downstream task monocular 3d object detection on the kitti leaderboard.",-2.5020905,3.6694555,monocular,no reinforce,34,"id:34 (monocular)<br><b>Advancing Self-supervised Monocular Depth Learning with Sparse LiDAR</b><br>kw:Self-supervised, Monocular, Depth Prediction, Sparse LiDAR"
35,35,283,https://openreview.net/forum?id=av44VzmMKwW,Learning Model Preconditions for Planning with Multiple Models,"Alex Licari LaGrassa, Oliver Kroemer",2.0,,,,,,,False,,"manipulation, planning","Different types of models can provide differing levels of fidelity when planning for a robot's task execution. Analytical models are often fast to evaluate but only work in a limited range of conditions. Meanwhile physics simulators are effective at modeling interactions between objects but are typically more computationally expensive. Learning when to switch between the various models can greatly improve the speed of planning without sacrificing task success. In this work, we learn model deviation estimators (MDEs) to predict the error between real-world states and the states outputted from skill effect models. Afterwards, we use the prediction from MDEs to switch between various models in order to speed up planning when possible. We evaluate our method on two real-world tasks: placing a rod into a box, and placing a rod into a closed drawer.",,,,,"learning model preconditions for planning with multiple models manipulation, planning different types of models can provide differing levels of fidelity when planning for a robot's task execution. analytical models are often fast to evaluate but only work in a limited range of conditions. meanwhile physics simulators are effective at modeling interactions between objects but are typically more computationally expensive. learning when to switch between the various models can greatly improve the speed of planning without sacrificing task success. in this work, we learn model deviation estimators (mdes) to predict the error between real-world states and the states outputted from skill effect models. afterwards, we use the prediction from mdes to switch between various models in order to speed up planning when possible. we evaluate our method on two real-world tasks: placing a rod into a box, and placing a rod into a closed drawer.",-1.7154636,3.8158827,rod,no reinforce,35,"id:35 (rod)<br><b>Learning Model Preconditions for Planning with Multiple Models</b><br>kw:manipulation, planning"
36,36,300,https://openreview.net/forum?id=Wt3GLZYFvEQ,Rough Terrain Navigation Using Divergence Constrained Model Based Reinforcement Learning,"Sean J Wang, Samuel Triest, Wenshan Wang, Sebastian Scherer, Aaron Johnson",2.0,,,,,,,False,,"Rough Terrain Navigation, Model-Based Reinforcement Learning, Model Uncertainty","Autonomous navigation of wheeled robots in rough terrain environments has been a long standing challenge. In these environments, predicting the robot's trajectory can be challenging due to the complexity of terrain interactions, as well as the divergent dynamics that cause model uncertainty to compound and propagate poorly. This inhibits the robot's long horizon decision making capabilities and often lead to shortsighted navigation strategies. We propose a model-based reinforcement learning algorithm for rough terrain traversal that trains a probabilistic dynamics model to consider the propagating effects of uncertainty. During trajectory predictions, a trajectory tracking controller is considered to predict closed-loop trajectories. Our method further increases prediction accuracy and precision by using constrained optimization to find trajectories with low divergence. Using this method, wheeled robots can find non-myopic control strategies to reach destinations with higher probability of success. We show results on simulated and real world robots navigating through rough terrain environments.",,,,,"rough terrain navigation using divergence constrained model based reinforcement learning rough terrain navigation, model-based reinforcement learning, model uncertainty autonomous navigation of wheeled robots in rough terrain environments has been a long standing challenge. in these environments, predicting the robot's trajectory can be challenging due to the complexity of terrain interactions, as well as the divergent dynamics that cause model uncertainty to compound and propagate poorly. this inhibits the robot's long horizon decision making capabilities and often lead to shortsighted navigation strategies. we propose a model-based reinforcement learning algorithm for rough terrain traversal that trains a probabilistic dynamics model to consider the propagating effects of uncertainty. during trajectory predictions, a trajectory tracking controller is considered to predict closed-loop trajectories. our method further increases prediction accuracy and precision by using constrained optimization to find trajectories with low divergence. using this method, wheeled robots can find non-myopic control strategies to reach destinations with higher probability of success. we show results on simulated and real world robots navigating through rough terrain environments.",-2.8160045,3.460461,rough,reinforce,36,"id:36 (rough)<br><b>Rough Terrain Navigation Using Divergence Constrained Model Based Reinforcement Learning</b><br>kw:Rough Terrain Navigation, Model-Based Reinforcement Learning, Model Uncertainty"
37,37,303,https://openreview.net/forum?id=NDYbXf-DvwZ,Visual-Locomotion: Learning to Walk on Complex Terrains with Vision,"Wenhao Yu, Deepali Jain, Alejandro Escontrela, Atil Iscen, Peng Xu, Erwin Coumans, Sehoon Ha, Jie Tan, Tingnan Zhang",2.0,,,,,,,False,,"Legged Robot, Reinforcement Learning, Visual Locomotion","Vision is one of the most important perception modalities for legged robots to safely and efficiently navigate uneven terrains, such as stairs and stepping stones. However,  training robots to effectively understand high-dimensional visual input for locomotion is a challenging problem. In this work, we propose a framework to train a vision-based locomotion controller which enables a quadrupedal robot to traverse uneven environments. The key idea is to introduce a hierarchical structure with a high-level vision policy and a low-level motion controller. The high-level vision policy takes as inputs the perceived vision signals as well as robot states and outputs the desired footholds and base movement of the robot. These are then realized by the low level motion controller composed of a position controller for swing legs and a MPC-based torque controller for stance legs. We train the vision policy using Deep Reinforcement Learning and demonstrate our approach on a variety of uneven environments such as randomly placed stepping stones, quincuncial piles, stairs, and moving platforms. We also validate our method on a real robot to walk over a series of gaps and climbing up a platform.",,,,,"visual-locomotion: learning to walk on complex terrains with vision legged robot, reinforcement learning, visual locomotion vision is one of the most important perception modalities for legged robots to safely and efficiently navigate uneven terrains, such as stairs and stepping stones. however,  training robots to effectively understand high-dimensional visual input for locomotion is a challenging problem. in this work, we propose a framework to train a vision-based locomotion controller which enables a quadrupedal robot to traverse uneven environments. the key idea is to introduce a hierarchical structure with a high-level vision policy and a low-level motion controller. the high-level vision policy takes as inputs the perceived vision signals as well as robot states and outputs the desired footholds and base movement of the robot. these are then realized by the low level motion controller composed of a position controller for swing legs and a mpc-based torque controller for stance legs. we train the vision policy using deep reinforcement learning and demonstrate our approach on a variety of uneven environments such as randomly placed stepping stones, quincuncial piles, stairs, and moving platforms. we also validate our method on a real robot to walk over a series of gaps and climbing up a platform.",-2.7286277,3.6357923,vision,reinforce,37,"id:37 (vision)<br><b>Visual-Locomotion: Learning to Walk on Complex Terrains with Vision</b><br>kw:Legged Robot, Reinforcement Learning, Visual Locomotion"
38,38,406,https://openreview.net/forum?id=OQMXb0xiCrt,SeqMatchNet: Contrastive Learning with Sequence Matching for Place Recognition & Relocalization,"Sourav Garg, Madhu Vankadari, Michael Milford",2.0,,,,,,,False,,"Relocalization, Localization, Visual Place Recognition, Sequence Matching, Contrastive Learning","Visual Place Recognition (VPR) for mobile robot global relocalization is a well-studied problem, where contrastive learning based representation training methods have led to state-of-the-art performance. However, these methods are mainly designed for single image based VPR, where sequential information, which is ubiquitous in robotics, is only used as a post-processing step for filtering single image match scores, but is never used to guide the representation learning process itself. In this work, for the first time, we bridge the gap between single image representation learning and sequence matching through SeqMatchNet which transforms the single image descriptors such that they become more responsive to the sequence matching metric. First, we propose a novel triplet loss formulation where the distance metric is based on sequence matching, that is, the aggregation of temporal order-based single-image Euclidean distances. We use the same metric for mining negatives online during the training which helps the optimization process by selecting appropriate positives and harder negatives. To overcome the computational overhead of sequence matching for negative mining, we propose a 2D convolution based formulation of sequence matching for efficiently aggregating distances within a distance matrix computed using single images. We show that our proposed method achieves consistent gains in performance as demonstrated on four benchmark datasets. Source code will be made publicly available.",,,,,"seqmatchnet: contrastive learning with sequence matching for place recognition & relocalization relocalization, localization, visual place recognition, sequence matching, contrastive learning visual place recognition (vpr) for mobile robot global relocalization is a well-studied problem, where contrastive learning based representation training methods have led to state-of-the-art performance. however, these methods are mainly designed for single image based vpr, where sequential information, which is ubiquitous in robotics, is only used as a post-processing step for filtering single image match scores, but is never used to guide the representation learning process itself. in this work, for the first time, we bridge the gap between single image representation learning and sequence matching through seqmatchnet which transforms the single image descriptors such that they become more responsive to the sequence matching metric. first, we propose a novel triplet loss formulation where the distance metric is based on sequence matching, that is, the aggregation of temporal order-based single-image euclidean distances. we use the same metric for mining negatives online during the training which helps the optimization process by selecting appropriate positives and harder negatives. to overcome the computational overhead of sequence matching for negative mining, we propose a 2d convolution based formulation of sequence matching for efficiently aggregating distances within a distance matrix computed using single images. we show that our proposed method achieves consistent gains in performance as demonstrated on four benchmark datasets. source code will be made publicly available.",-3.6805537,3.6190526,matching,no reinforce,38,"id:38 (matching)<br><b>SeqMatchNet: Contrastive Learning with Sequence Matching for Place Recognition & Relocalization</b><br>kw:Relocalization, Localization, Visual Place Recognition, Sequence Matching, Contrastive Learning"
39,39,21,https://openreview.net/forum?id=L0tXWRrB9yw,SCAPE: Learning Stiffness Control from Augmented Position Control Experiences,"Mincheol Kim, Scott Niekum, Ashish Deshpande",3.0,,,,☆,,,False,,"Manipulation, stiffness control, reinforcement learning","We introduce a sample-efficient method for learning state-dependent stiffness control policies for dexterous manipulation. The ability to control stiffness facilitates safe and reliable manipulation by providing compliance and robustness to uncertainties. Most current reinforcement learning approaches to achieve robotic manipulation have exclusively focused on position control, often due to the difficulty of learning high-dimensional stiffness control policies. This difficulty can be partially mitigated via policy guidance such as imitation learning. However, expert stiffness control demonstrations are often expensive or infeasible to record. Therefore, we present an approach to learn Stiffness Control from Augmented Position control Experiences (SCAPE) that bypasses this difficulty by transforming position control demonstrations into approximate, suboptimal stiffness control demonstrations. Then, the suboptimality of the augmented demonstrations is addressed by using complementary techniques that help the agent safely learn from both the demonstrations and reinforcement learning. By using simulation tools and experiments on a robotic testbed, we show that the proposed approach efficiently learns safe manipulation policies and outperforms learned position control policies and several other baseline learning algorithms.",,,,,"scape: learning stiffness control from augmented position control experiences manipulation, stiffness control, reinforcement learning we introduce a sample-efficient method for learning state-dependent stiffness control policies for dexterous manipulation. the ability to control stiffness facilitates safe and reliable manipulation by providing compliance and robustness to uncertainties. most current reinforcement learning approaches to achieve robotic manipulation have exclusively focused on position control, often due to the difficulty of learning high-dimensional stiffness control policies. this difficulty can be partially mitigated via policy guidance such as imitation learning. however, expert stiffness control demonstrations are often expensive or infeasible to record. therefore, we present an approach to learn stiffness control from augmented position control experiences (scape) that bypasses this difficulty by transforming position control demonstrations into approximate, suboptimal stiffness control demonstrations. then, the suboptimality of the augmented demonstrations is addressed by using complementary techniques that help the agent safely learn from both the demonstrations and reinforcement learning. by using simulation tools and experiments on a robotic testbed, we show that the proposed approach efficiently learns safe manipulation policies and outperforms learned position control policies and several other baseline learning algorithms.",-2.843297,3.2503412,stiffness,reinforce,39,"id:39 (stiffness)<br><b>SCAPE: Learning Stiffness Control from Augmented Position Control Experiences</b><br>kw:Manipulation, stiffness control, reinforcement learning"
40,40,32,https://openreview.net/forum?id=Qdb1ODTQTnL,Learning to Regrasp by Learning to Place,"Shuo Cheng, Kaichun Mo, Lin Shao",3.0,,,,☆,,,False,,"Regrasping, Deep Learning, Robotic Manipulation","In this paper, we explore whether a robot can learn to regrasp a diverse set of objects to achieve various desired grasp poses. Regrasping is needed whenever a robot's current grasp pose fails to perform desired manipulation tasks. Endowing robots with such an ability has applications in many domains such as manufacturing or domestic services. Yet, it is a challenging task due to the large diversity of geometry in everyday objects and the high dimensionality of the state and action space. In this paper, we propose a system for robots to take partial point clouds of an object and the supporting environment as inputs and output a sequence of pick-and-place operations to transform an initial object grasp pose to the desired object grasp poses. The key technique includes a neural stable placement predictor and a regrasp graph based solution through leveraging and changing surrounding environment. We introduce a new and challenging synthetic dataset for learning and evaluating the proposed approach.  In this dataset, we show that our system is able to achieve 73.3 % success rate of regrasping divese objects.",,,,,"learning to regrasp by learning to place regrasping, deep learning, robotic manipulation in this paper, we explore whether a robot can learn to regrasp a diverse set of objects to achieve various desired grasp poses. regrasping is needed whenever a robot's current grasp pose fails to perform desired manipulation tasks. endowing robots with such an ability has applications in many domains such as manufacturing or domestic services. yet, it is a challenging task due to the large diversity of geometry in everyday objects and the high dimensionality of the state and action space. in this paper, we propose a system for robots to take partial point clouds of an object and the supporting environment as inputs and output a sequence of pick-and-place operations to transform an initial object grasp pose to the desired object grasp poses. the key technique includes a neural stable placement predictor and a regrasp graph based solution through leveraging and changing surrounding environment. we introduce a new and challenging synthetic dataset for learning and evaluating the proposed approach.  in this dataset, we show that our system is able to achieve 73.3 % success rate of regrasping divese objects.",-0.97665346,4.366064,regrasp,no reinforce,40,"id:40 (regrasp)<br><b>Learning to Regrasp by Learning to Place</b><br>kw:Regrasping, Deep Learning, Robotic Manipulation"
41,41,45,https://openreview.net/forum?id=0QJeE5hkyFZ,FlingBot: The Unreasonable Effectiveness of Dynamic Manipulation for Cloth Unfolding ,"Huy Ha, Shuran Song",3.0,,,,,,,False,,"Dynamic manipulation, Cloth manipulation, Self-supervised learning","High-velocity dynamic actions (e.g., fling or throw) play a crucial role in our everyday interaction with deformable objects by improving our efficiency and effectively expanding our physical reach range. Yet, most prior works have tackled cloth manipulation using exclusively single-arm quasi-static actions, which requires a large number of interactions for challenging initial cloth configurations and strictly limits the maximum cloth size by the robot's reach range. In this work, we demonstrate the effectiveness of dynamic flinging actions for cloth unfolding with our proposed self-supervised learning framework, FlingBot.        Our approach learns how to unfold a piece of fabric from arbitrary initial configurations using a pick, stretch, and fling primitive for a dual-arm setup from visual observations. The final system achieves over 80% coverage within 3 actions on novel cloths,  can unfold cloths larger than the system's reach range, and generalizes to T-shirts despite being trained on only rectangular cloths.        We also finetuned FlingBot on a real-world dual-arm robot platform, where it increased the cloth coverage over 4 times more than the quasi-static baseline did. The simplicity of FlingBot combined with its superior performance over quasi-static baselines demonstrates the effectiveness of dynamic actions for deformable object manipulation.",,,,,"flingbot: the unreasonable effectiveness of dynamic manipulation for cloth unfolding  dynamic manipulation, cloth manipulation, self-supervised learning high-velocity dynamic actions (e.g., fling or throw) play a crucial role in our everyday interaction with deformable objects by improving our efficiency and effectively expanding our physical reach range. yet, most prior works have tackled cloth manipulation using exclusively single-arm quasi-static actions, which requires a large number of interactions for challenging initial cloth configurations and strictly limits the maximum cloth size by the robot's reach range. in this work, we demonstrate the effectiveness of dynamic flinging actions for cloth unfolding with our proposed self-supervised learning framework, flingbot.        our approach learns how to unfold a piece of fabric from arbitrary initial configurations using a pick, stretch, and fling primitive for a dual-arm setup from visual observations. the final system achieves over 80% coverage within 3 actions on novel cloths,  can unfold cloths larger than the system's reach range, and generalizes to t-shirts despite being trained on only rectangular cloths.        we also finetuned flingbot on a real-world dual-arm robot platform, where it increased the cloth coverage over 4 times more than the quasi-static baseline did. the simplicity of flingbot combined with its superior performance over quasi-static baselines demonstrates the effectiveness of dynamic actions for deformable object manipulation.",-3.146498,3.6580212,cloth,no reinforce,41,"id:41 (cloth)<br><b>FlingBot: The Unreasonable Effectiveness of Dynamic Manipulation for Cloth Unfolding </b><br>kw:Dynamic manipulation, Cloth manipulation, Self-supervised learning"
